trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",25,0,-4.603729921683711,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",25,0,-15.080206442067322,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",25,0,-14.144147996112503,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",20,0,-10.186219995866923,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",30,0,2.1251618315835596,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",30,0,-28.907257004981926,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",25,0,-22.392687012552773,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",25,0,-28.75392916269906,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",25,0,-20.107685482207746,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",20,0,-33.522329603494086,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",30,0,-18.727197814686594,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",25,0,-39.88669724473349,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",25,0,-24.33024945145797,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",20,0,-29.39747475246459,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",25,0,-13.05318619218856,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",25,0,-26.347013099491065,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",25,0,-8.83790819307291,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",20,0,-14.329265894593933,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",20,0,-19.836496849906272,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0}",20,0,-13.93244591179906,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.367978965368852,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-33.534209276003835,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-48.45144356244897,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-50.93680367895222,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-24.18959939727562,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-23.9805596050082,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-25.6732529499692,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-39.12966459043634,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-20.3878062689243,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-8.016789924705344,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
