trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.99}",25,0,-28.701749733876042,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.98}",20,0,-31.838466832304395,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.97}",20,0,-35.153756389080954,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.96}",25,0,-29.28266192078616,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.95}",25,0,-37.45449202359545,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.94}",25,0,-27.171028860656104,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9299999999999999}",25,0,-60.92470489142464,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9199999999999999}",25,0,-1.2496216940920544,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9099999999999999}",25,0,-27.230297959218333,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.8999999999999999}",35,0,-58.60156290266261,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8899999999999999}",20,0,-22.988278662087197,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8799999999999999}",30,0,-45.28874927499739,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8699999999999999}",25,0,-12.166318379185594,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8599999999999999}",20,0,-24.1403407811329,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8499999999999999}",30,0,-33.81878175480259,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8399999999999999}",20,0,-18.370531142726882,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8299999999999998}",35,0,-39.13370941828156,"{0: 21, 1: 14, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.8199999999999998}",20,0,-23.389194098356796,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.8099999999999998}",25,0,-39.23972042833237,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.7999999999999998}",25,0,-39.519407781371335,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.7899999999999998}",20,0,-42.78818787871462,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.7799999999999998}",20,0,-35.63153345007221,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.7699999999999998}",20,0,-25.17013386693567,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.7599999999999998}",30,0,-41.46177282179921,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,0,-46.4054058566141,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7399999999999998}",35,0,-20.2448940071627,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7299999999999998}",25,0,-22.66560986495767,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.7199999999999998}",25,0,-45.60432304573269,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7099999999999997}",25,0,-39.48818511904995,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.6999999999999997}",30,0,-26.521267734313856,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.6899999999999997}",20,0,-3.1309186239898272,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.6799999999999997}",20,0,-15.678691987928618,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.6699999999999997}",20,0,-25.60846371742521,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.6599999999999997}",20,0,-25.96601049563806,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,0,-23.421007805339062,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.6399999999999997}",20,0,-15.084176383926476,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.6299999999999997}",20,0,-35.3190554962392,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.6199999999999997}",20,0,0.6612254645229052,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.6099999999999997}",30,0,-28.501443694509575,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.5999999999999996}",35,0,-47.734029368188686,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.5899999999999996}",30,0,-22.79911183041348,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.5799999999999996}",35,0,-45.995857046081156,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.5699999999999996}",25,0,-37.27947362847516,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.5599999999999996}",25,0,-35.24020251312021,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.5499999999999996}",35,0,-26.15097424549403,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.5399999999999996}",25,0,-22.781622476319875,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.5299999999999996}",20,0,-48.260860691445046,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.5199999999999996}",25,0,-37.41414139054387,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.5099999999999996}",20,0,-18.907909346903068,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.49999999999999956}",20,0,-9.952306932655427,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.48999999999999955}",25,0,-20.372059199761743,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.47999999999999954}",30,0,-56.1349104046476,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.46999999999999953}",30,0,-40.96091002762944,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.4599999999999995}",25,0,-25.68974513217615,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.4499999999999995}",35,0,-48.247948245413546,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.4399999999999995}",30,0,-14.552201086431452,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.4299999999999995}",20,0,-27.687606508573083,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.4199999999999995}",20,0,-39.71990637941812,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.4099999999999995}",25,0,-18.224907556218884,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.39999999999999947}",20,0,-42.82884936099873,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.38999999999999946}",20,0,-21.43639805326196,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.37999999999999945}",20,0,-13.076749998000855,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.36999999999999944}",25,0,-35.444050544728576,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.35999999999999943}",20,0,-35.48198123138594,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.3499999999999994}",20,0,-42.25211484867707,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.3399999999999994}",20,0,3.80026604200624,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.3299999999999994}",25,0,-33.882625461020986,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.3199999999999994}",20,0,-36.60857974298452,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.3099999999999994}",20,0,-21.02486112045826,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.2999999999999994}",20,0,-39.29425569066559,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.28999999999999937}",30,0,-39.44180199276989,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.27999999999999936}",25,0,-21.750449227029748,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.26999999999999935}",25,0,-9.74737679174308,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.25999999999999934}",30,0,-7.548845821385278,"{0: 22, 1: 8, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.24999999999999933}",30,0,-13.992371756779782,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.23999999999999932}",25,0,-28.19141434561987,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.22999999999999932}",20,0,-33.36017895844885,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.2199999999999993}",20,0,-20.919727483700086,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.2099999999999993}",20,0,-16.815849587441793,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.1999999999999993}",20,0,-16.104588155094866,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.18999999999999928}",25,0,-22.936473743899583,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.17999999999999927}",20,0,-12.831629767323179,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.16999999999999926}",20,0,-30.048915978513676,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.15999999999999925}",25,0,-5.773555301774372,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.14999999999999925}",25,0,-25.570754039231474,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.13999999999999924}",20,0,-33.95644036626295,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
