trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-111.21646532157442,"{0: 70, 1: 50, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,-100,-93.11541539818273,"{0: 81, 1: 49, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-100,-117.60757937987319,"{0: 74, 1: 51, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-101.7572805093221,"{0: 77, 1: 48, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-124.14807261503522,"{0: 75, 1: 50, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-119.26668406106798,"{0: 75, 1: 50, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-146.06165831583033,"{0: 69, 1: 56, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-100,-132.79828281658004,"{0: 76, 1: 54, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-97.05047502853432,"{0: 73, 1: 47, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-111.56047644768074,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-153.86003280394416,"{0: 64, 1: 56, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-148.03307407206594,"{0: 70, 1: 55, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-154.97283915966705,"{0: 65, 1: 55, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-100.20963653709224,"{0: 76, 1: 49, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-100,-129.52143505325427,"{0: 68, 1: 52, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-112.57354669327765,"{0: 71, 1: 49, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-100,-75.78632216600869,"{0: 84, 1: 46, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-101.73743470569666,"{0: 77, 1: 48, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-155.46421157090757,"{0: 68, 1: 57, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-88.96180813695358,"{0: 73, 1: 47, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-100.99318166923561,"{0: 75, 1: 45, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,-100,-96.96240187018098,"{0: 80, 1: 50, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,-100,-147.1716324700932,"{0: 80, 1: 55, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,-100,-123.46546880355766,"{0: 77, 1: 53, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-100,-122.16121906918634,"{0: 71, 1: 49, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-100,-141.88969923317657,"{0: 70, 1: 55, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-112.72206285354005,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-100,-105.89556670412355,"{0: 78, 1: 52, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-100,-119.86531649691342,"{0: 74, 1: 51, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-133.09150022824548,"{0: 72, 1: 53, 2: 0, 3: 0, 4: 0}",0
